violation_id,inspection_id,business_id,violation_description,risk_category
06733077:2025-04-24:0:3,06733077:2025-04-24:0,06733077,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733077:2025-04-24:0:4,06733077:2025-04-24:0,06733077,Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature.,
06733077:2025-04-24:0:5,06733077:2025-04-24:0,06733077,"Maintain onsite an accurate, easily readable metal probe thermometer suitable for measuring temperature of food shall be available. A display thermometer +/- 2F shall be provided for each hot and cold holding unit of potentially hazardous foods and high temperature warewashing machines.",
06733077:2025-04-24:0:6,06733077:2025-04-24:0,06733077,"Maintain toilet facilities clean, sanitary, and in good repair. Toilet rooms shall be separated by a well-fitting self-closing door. Toilet tissue shall be provided in a permanently installed dispenser at each toilet. The number of toilet facilities shall be in accordance with local building and plumbing ordinances. Toilet facilities shall be provided for patrons: in establishments where there is onsite consumption of food; with more than 20,000 sq ft.; establishments offering on-site liquor consumption.",
06733077:2025-04-24:0:7,06733077:2025-04-24:0,06733077,Provide an approved warewashing facility. Obtain chlorine test strips to monitor chlorine sanitizer solutions and mechanical dishwasher. Obtain quaternary ammonia test strips to monitor quaternary ammonia sanitizer solutions.,
06733077:2025-12-04:0:0,06733077:2025-12-04:0,06733077,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733077:2025-12-04:0:1,06733077:2025-12-04:0,06733077,Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility.,
06733077:2025-12-04:0:2,06733077:2025-12-04:0,06733077,Elevate all food at least 6 inches off of the floor to prevent contamination. Properly label bulk ingredient/food containers with common name.,
06733077:2025-12-04:0:3,06733077:2025-12-04:0,06733077,"Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 1114149-114149.3, 114252, 114252.1 - Provide exhaust hoods to remove toxic gases, heat, grease, vapors, and smoke and be approved by the local building department. Canopy-type hoods shall extend 6 inches beyond all cooking equipment. Toilet rooms shall be vented to the outside air by a screened openable window, an air shaft, or a light-switch activated exhaust fan, consistent with local building codes. Adequate lighting shall be provided in all areas to facilitate cleaning and inspection. Light fixtures in areas where open food is stored, served, prepared, and where utensils are washed shall be of shatterproof construction or protected with light shields.",
06733077:2025-12-04:0:4,06733077:2025-12-04:0,06733077,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733077:2025-12-12:0:0,06733077:2025-12-12:0,06733077,Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility.,
06733077:2025-12-12:0:1,06733077:2025-12-12:0,06733077,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733077:2025-12-12:0:2,06733077:2025-12-12:0,06733077,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733077:2026-06-11:0:0,06733077:2026-06-11:0,06733077,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733077:2026-06-11:0:1,06733077:2026-06-11:0,06733077,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733077:2026-06-11:0:2,06733077:2026-06-11:0,06733077,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733078:2024-07-12:1:0,06733078:2024-07-12:1,06733078,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733078:2024-07-12:1:1,06733078:2024-07-12:1,06733078,Provide an approved warewashing facility. Obtain chlorine test strips to monitor chlorine sanitizer solutions and mechanical dishwasher. Obtain quaternary ammonia test strips to monitor quaternary ammonia sanitizer solutions.,
06733080:2025-01-22:0:0,06733080:2025-01-22:0,06733080,"Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",
06733080:2025-01-22:0:1,06733080:2025-01-22:0,06733080,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733081:2025-05-08:0:0,06733081:2025-05-08:0,06733081,- Submit additional documents as instructed.,
06733081:2025-05-08:0:1,06733081:2025-05-08:0,06733081,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733082:2024-02-02:0:0,06733082:2024-02-02:0,06733082,The water supply shall be from a water system approved by the local enforcement agency.,
06733082:2024-02-02:0:1,06733082:2024-02-02:0,06733082,"After use, mops shall be placed in a position that allows them to air-day without soiling walls, equipment, or supplies, e.g. wall-mounted mop rack.",
06733082:2024-02-02:0:2,06733082:2024-02-02:0,06733082,"Lockers or other suitable facilities shall be located in a designated room or area where contamination of food, equipment, utensils, linens, and single-use articles cannot occur.",
06733082:2024-02-02:0:3,06733082:2024-02-02:0,06733082,"Equipment that discharges liquid waste, e.g. food preparation sinks, dishwashing machines, steam tables, ice machines and bins, espresso machines, walk-in refrigeration units, shall have approved indirect drainage through an air gap into a floor sink or other approved receiving vessel.",
06733082:2024-02-02:0:4,06733082:2024-02-02:0,06733082,"A room, area, or cabinet separated from any food preparation or storage area, or warewashing area shall be provided for the storage of cleaning equipment and supplies.",
06733082:2024-02-08:0:0,06733082:2024-02-08:0,06733082,Floor surfaces shall be coved at the juncture of the floor and wall with a 3/8 inch minimum radius coving and shall extend up the wall at least 4 inches.,
06733082:2024-02-16:1:0,06733082:2024-02-16:1,06733082,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733082:2025-02-07:0:0,06733082:2025-02-07:0,06733082,All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination.,
06733082:2025-02-07:0:1,06733082:2025-02-07:0,06733082,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733082:2025-02-07:0:2,06733082:2025-02-07:0,06733082,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733082:2025-02-07:0:3,06733082:2025-02-07:0,06733082,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733082:2025-02-10:0:0,06733082:2025-02-10:0,06733082,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733090:2024-01-17:1:0,06733090:2024-01-17:1,06733090,Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner.,
06733090:2024-01-17:1:1,06733090:2024-01-17:1,06733090,"Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair.",
06733090:2025-03-14:0:0,06733090:2025-03-14:0,06733090,"Properly wash hands with hand soap and warm water for a minimum of 10 seconds at the hand washing station when beginning work; before handling food/equipment/utensils; as often as necessary during food preparation to remove soil and contamination; switching from working with raw to ready-to-eat foods; after touching body parts; after using toilet room; contamination of hands occurs. Food employees shall minimize contact with exposed, ready-to-eat food with their bare hands and shall use suitable utensils, gloves, or dispensing equipment.",
06733090:2025-03-14:0:1,06733090:2025-03-14:0,06733090,"Provide ""Consumer Advisory"" using DISCLOSURE (*) and a REMINDER: ""Consuming raw or undercooked meats, poultry, seafood, shellfish, or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions"" for ready-to-eat foods.",
06733090:2025-03-14:0:10,06733090:2025-03-14:0,06733090,"Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",
06733090:2025-03-14:0:11,06733090:2025-03-14:0,06733090,"Designate and ensure a person in charge to be present at facility at all hours of the operation. Exclude persons unnecessary to the food facility from the food preparation, food storage, or warewashing areas.,  - Submit additional documents as instructed.",
06733090:2025-03-14:0:2,06733090:2025-03-14:0,06733090,"Label all potentially hazardous foods for use with Time as a Public Health Control implementation with the date and discard time. The discard time shall be 4 hours after food preparation has begun or after removing from proper temperature controls of 41°F or 135°F. Discard potentially hazardous foods, under Time as a Public Health Control, when 4 hours have elapsed. Obtain written approval for Time as Public Health Control from San Francisco Environmental Health.",
06733090:2025-03-14:0:3,06733090:2025-03-14:0,06733090,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733090:2025-03-14:0:4,06733090:2025-03-14:0,06733090,Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner.,
06733090:2025-03-14:0:5,06733090:2025-03-14:0,06733090,Maintain shell fish tags with the stock until the container is empty. Retain all shell fish tags for at least 90 days in chronological order. Discontinue commingling (blending together) shell stock from different harvest dates and locations to prevent cross contamination.,
06733090:2025-03-14:0:6,06733090:2025-03-14:0,06733090,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733090:2025-03-14:0:7,06733090:2025-03-14:0,06733090,"Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment.",
06733090:2025-03-14:0:8,06733090:2025-03-14:0,06733090,Maintain nonfood contact surfaces clean. Thoroughly clean and degrease the cooking equipment and shelves above cooking equipment.,
06733090:2025-03-14:0:9,06733090:2025-03-14:0,06733090,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733090:2025-04-17:0:0,06733090:2025-04-17:0,06733090,"Provide ""Consumer Advisory"" using DISCLOSURE (*) and a REMINDER: ""Consuming raw or undercooked meats, poultry, seafood, shellfish, or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions"" for ready-to-eat foods.",
06733090:2025-04-17:0:1,06733090:2025-04-17:0,06733090,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733090:2025-04-17:0:2,06733090:2025-04-17:0,06733090,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733092:2024-10-09:0:0,06733092:2024-10-09:0,06733092,"Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment.",
06733092:2024-10-09:0:1,06733092:2024-10-09:0,06733092,Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility.,
06733092:2024-10-09:0:2,06733092:2024-10-09:0,06733092,Maintain nonfood contact surfaces clean. Thoroughly clean and degrease the cooking equipment and shelves above cooking equipment.,
06733092:2024-10-09:0:3,06733092:2024-10-09:0,06733092,Provide an approved warewashing facility. Obtain chlorine test strips to monitor chlorine sanitizer solutions and mechanical dishwasher. Obtain quaternary ammonia test strips to monitor quaternary ammonia sanitizer solutions.,
06733092:2024-10-09:0:4,06733092:2024-10-09:0,06733092,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733092:2024-10-09:0:5,06733092:2024-10-09:0,06733092,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733092:2024-10-09:0:6,06733092:2024-10-09:0,06733092,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733092:2024-10-09:0:7,06733092:2024-10-09:0,06733092,"Maintain onsite an accurate, easily readable metal probe thermometer suitable for measuring temperature of food shall be available. A display thermometer +/- 2F shall be provided for each hot and cold holding unit of potentially hazardous foods and high temperature warewashing machines.,  - Submit additional documents as instructed.",
06733092:2024-11-20:0:0,06733092:2024-11-20:0,06733092,"Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects.",
06733092:2024-11-20:0:1,06733092:2024-11-20:0,06733092,"Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,  - Submit additional documents as instructed.",
06733092:2024-11-20:0:2,06733092:2024-11-20:0,06733092,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733092:2025-02-28:0:0,06733092:2025-02-28:0,06733092,Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site.,
06733092:2025-02-28:0:1,06733092:2025-02-28:0,06733092,"Ensure all equipment is approved, properly installed, clean, and maintained in good repair. Ensure all appliances are NSF-approved, commercial grade, durable, and easily cleanable.",
06733094:2025-01-14:0:0,06733094:2025-01-14:0,06733094,"Discontinue thawing potentially hazardous foods at room temperature or in standing water. Use one of the following approved methods:  - Under potable running water of sufficient velocity to wash away loose food particles using water no greater than 70°F for no more than 2 hours.  - In a refrigeration unit at 41°F or below  - In a microwave  - As part of the cooking process, 114087, 114089, 114090, 114094, 114094.5, 114365.2 - Discontinue misbranding foods to mislead consumers.",
06733094:2025-01-14:0:1,06733094:2025-01-14:0,06733094,Discard all contaminated/adulterated food immediately if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health.,
06733094:2025-01-14:0:2,06733094:2025-01-14:0,06733094,All clean and soiled linen shall be properly stored; non-food items shall be stored and displayed separate from food and food-contact surfaces. Utensils and equipment shall be handled and stored so as to be protected from contamination.,
06733099:2024-05-15:0:0,06733099:2024-05-15:0,06733099,"A food facility shall at all times be constructed, equipped, and maintained, and operated as to prevent the entrance and harborage of animals, birds, and vermin, including, but not limited to rodents and insects.",
06733099:2024-08-15:1:0,06733099:2024-08-15:1,06733099,"Label all potentially hazardous foods for use with Time as a Public Health Control implementation with the date and discard time. The discard time shall be 4 hours after food preparation has begun or after removing from proper temperature controls of 41°F or 135°F. Discard potentially hazardous foods, under Time as a Public Health Control, when 4 hours have elapsed. Obtain written approval for Time as Public Health Control from San Francisco Environmental Health.",
